,0
Aatrox,22.955
Ahri,11.04
Akali,9.87
Akshan,3.515
Alistar,5.29
Amumu,2.59
Anivia,2.825
Annie,1.755
Aphelios,3.405
Ashe,9.635
AurelionSol,4.145
Aurora,25.3
Azir,0.92
Bard,1.435
Belveth,7.05
Blitzcrank,17.425
Brand,5.5
Braum,6.44
Briar,2.6
Caitlyn,12.92
Camille,6.87
Cassiopeia,1.43
Chogath,2.03
Corki,6.615
Darius,8.395
Diana,7.805
Draven,4.215
DrMundo,1.535
Ekko,2.245
Elise,4.13
Evelynn,4.405
Ezreal,21.905
Fiddlesticks,2.01
Fiora,6.67
Fizz,2.77
Galio,5.815
Gangplank,1.59
Garen,2.905
Gnar,6.02
Gragas,8.66
Graves,24.98
Gwen,4.9
Hecarim,5.98
Heimerdinger,1.71
Hwei,9.255
Illaoi,5.61
Irelia,7.015
Ivern,0.78
Janna,1.855
JarvanIV,6.075
Jax,15.04
Jayce,10.395
Jhin,11.335
Jinx,9.625
Kaisa,27.865
Kalista,3.75
Karma,10.77
Karthus,1.435
Kassadin,1.95
Katarina,5.885
Kayle,0.74
Kayn,3.17
Kennen,2.395
Khazix,15.51
Kindred,10.63
Kled,1.27
KogMaw,2.895
KSante,9.79
Leblanc,26.445
LeeSin,27.125
Leona,7.025
Lillia,3.44
Lissandra,4.7
Lucian,7.73
Lulu,14.345
Lux,10.125
Malphite,7.215
Malzahar,2.82
Maokai,1.355
MasterYi,4.525
Milio,4.69
MissFortune,2.95
MonkeyKing,2.67
Mordekaiser,9.64
Morgana,13.675
Naafiri,1.25
Nami,5.11
Nasus,10.14
Nautilus,17.66
Neeko,3.835
Nidalee,15.25
Nilah,11.54
Nocturne,12.565
Nunu,1.48
Olaf,1.545
Orianna,4.275
Ornn,2.385
Pantheon,3.86
Poppy,11.525
Pyke,22.17
Qiyana,2.365
Quinn,0.87
Rakan,4.735
Rammus,1.785
RekSai,1.14
Rell,16.385
Renata,1.355
Renekton,11.385
Rengar,2.315
Riven,2.995
Rumble,2.68
Ryze,1.705
Samira,4.37
Sejuani,2.125
Senna,2.785
Seraphine,3.465
Sett,2.66
Shaco,13.095
Shen,3.27
Shyvana,1.945
Singed,0.635
Sion,2.1
Sivir,2.175
Skarner,7.25
Smolder,19.715
Sona,1.02
Soraka,3.385
Swain,1.94
Sylas,22.94
Syndra,6.26
TahmKench,1.9
Taliyah,7.535
Talon,1.505
Taric,0.44
Teemo,3.645
Thresh,17.635
Tristana,3.05
Trundle,0.97
Tryndamere,4.55
TwistedFate,3.995
Twitch,1.995
Udyr,1.89
Urgot,1.21
Varus,4.13
Vayne,2.15
Veigar,2.24
Velkoz,1.565
Vex,2.885
Vi,3.71
Viego,13.145
Viktor,3.2
Vladimir,4.37
Volibear,3.895
Warwick,1.37
Xayah,6.42
Xerath,13.095
XinZhao,1.305
Yasuo,16.775
Yone,24.275
Yorick,2.565
Yuumi,27.955
Zac,4.685
Zed,8.905
Zeri,3.65
Ziggs,3.26
Zilean,1.45
Zoe,12.555
Zyra,2.11
