,0
Aatrox,"['Plated Steelcaps', 'Eclipse', 'Sundered Sky']"
Ahri,"['Malignance', ""Sorcerer's Shoes"", ""Zhonya's Hourglass""]"
Akali,"[""Sorcerer's Shoes"", 'Stormsurge', 'Shadowflame']"
Akshan,"['The Collector', 'Kraken Slayer', 'Infinity Edge']"
Alistar,"['Locket of the Iron Solari', 'Celestial Opposition', 'Plated Steelcaps']"
Amumu,"[""Liandry's Torment"", 'Sunfire Aegis', 'Plated Steelcaps']"
Anivia,"[""Seraph's Embrace"", 'Rod of Ages', ""Sorcerer's Shoes""]"
Annie,"['Malignance', ""Sorcerer's Shoes"", ""Liandry's Torment""]"
Aphelios,"['The Collector', ""Berserker's Greaves"", 'Infinity Edge']"
Ashe,"[""Berserker's Greaves"", 'Kraken Slayer', 'Phantom Dancer']"
AurelionSol,"[""Rylai's Crystal Scepter"", ""Liandry's Torment"", ""Sorcerer's Shoes""]"
Aurora,"[""Sorcerer's Shoes"", ""Liandry's Torment"", 'Malignance']"
Azir,"[""Nashor's Tooth"", ""Liandry's Torment"", ""Sorcerer's Shoes""]"
Bard,"['Locket of the Iron Solari', 'Celestial Opposition', 'Boots of Swiftness']"
Belveth,"['Kraken Slayer', 'Blade of The Ruined King', 'Plated Steelcaps']"
Blitzcrank,"['Locket of the Iron Solari', 'Celestial Opposition', 'Frozen Heart']"
Brand,"[""Rylai's Crystal Scepter"", ""Liandry's Torment"", ""Sorcerer's Shoes""]"
Braum,"['Locket of the Iron Solari', 'Celestial Opposition', 'Plated Steelcaps']"
Briar,"['Blade of The Ruined King', 'Plated Steelcaps', 'Eclipse']"
Caitlyn,"['The Collector', 'Infinity Edge', ""Berserker's Greaves""]"
Camille,"['Trinity Force', 'Ravenous Hydra', 'Plated Steelcaps']"
Cassiopeia,"[""Seraph's Embrace"", ""Rylai's Crystal Scepter"", ""Liandry's Torment""]"
Chogath,"['Heartsteel', 'Plated Steelcaps', ""Mercury's Treads""]"
Corki,"['Trinity Force', 'Muramana', 'The Collector']"
Darius,"['Stridebreaker', 'Plated Steelcaps', ""Dead Man's Plate""]"
Diana,"[""Sorcerer's Shoes"", ""Zhonya's Hourglass"", ""Nashor's Tooth""]"
Draven,"['Bloodthirster', 'The Collector', 'Infinity Edge']"
DrMundo,"['Heartsteel', ""Warmog's Armor"", 'Plated Steelcaps']"
Ekko,"[""Sorcerer's Shoes"", 'Lich Bane', 'Hextech Rocketbelt']"
Elise,"[""Sorcerer's Shoes"", 'Stormsurge', 'Shadowflame']"
Evelynn,"['Lich Bane', ""Sorcerer's Shoes"", 'Stormsurge']"
Ezreal,"['Trinity Force', 'Muramana', 'Ionian Boots of Lucidity']"
Fiddlesticks,"[""Liandry's Torment"", ""Sorcerer's Shoes"", 'Malignance']"
Fiora,"['Ravenous Hydra', 'Trinity Force', 'Plated Steelcaps']"
Fizz,"['Lich Bane', ""Sorcerer's Shoes"", ""Zhonya's Hourglass""]"
Galio,"['Hollow Radiance', ""Mercury's Treads"", 'Riftmaker']"
