,0
Aatrox,51.1
Ahri,52.82
Akali,49.47
Akshan,53.64
Alistar,50.97
Amumu,50.58
Anivia,54.71
Annie,49.49
Aphelios,50.43
Ashe,49.55
AurelionSol,51.11
Aurora,48.3
Azir,45.0
Bard,50.59
Belveth,46.93
Blitzcrank,51.96
Brand,54.95
Braum,50.53
Briar,48.84
Caitlyn,49.7
Camille,51.07
Cassiopeia,51.48
Chogath,57.89
Corki,51.83
Darius,50.0
Diana,51.82
Draven,46.72
DrMundo,48.77
Ekko,48.19
Elise,53.21
Evelynn,46.53
Ezreal,48.41
Fiddlesticks,49.62
Fiora,50.74
Fizz,47.67
Galio,51.54
Gangplank,45.26
Garen,43.59
Gnar,48.49
Gragas,49.55
Graves,51.97
Gwen,47.11
Hecarim,48.68
Heimerdinger,46.84
Hwei,53.79
Illaoi,50.58
Irelia,51.3
Ivern,51.61
Janna,51.32
JarvanIV,50.0
Jax,53.05
Jayce,46.91
Jhin,50.56
Jinx,51.26
Kaisa,50.58
Kalista,45.33
Karma,49.67
Karthus,52.97
Kassadin,49.4
Katarina,48.92
Kayle,51.97
Kayn,47.49
Kennen,53.5
Khazix,49.2
Kindred,51.27
Kled,56.58
KogMaw,51.14
KSante,51.24
Leblanc,54.63
LeeSin,48.86
Leona,50.43
Lillia,52.21
Lissandra,49.75
Lucian,48.05
Lulu,50.0
Lux,48.84
Malphite,48.33
Malzahar,47.46
Maokai,47.77
MasterYi,47.75
Milio,49.26
MissFortune,51.07
MonkeyKing,50.77
Mordekaiser,47.36
Morgana,49.46
Naafiri,57.14
Nami,46.17
Nasus,48.01
Nautilus,48.57
Neeko,51.85
Nidalee,50.07
Nilah,51.97
Nocturne,50.68
Nunu,51.35
Olaf,55.67
Orianna,49.37
Ornn,48.73
Pantheon,55.17
Poppy,52.72
Pyke,48.08
Qiyana,53.61
Quinn,51.67
Rakan,49.04
Rammus,45.0
RekSai,50.81
Rell,54.67
Renata,48.48
Renekton,48.0
Rengar,47.7
Riven,52.2
Rumble,46.67
Ryze,51.58
Samira,53.83
Sejuani,51.05
Senna,52.76
Seraphine,51.89
Sett,49.0
Shaco,46.71
Shen,49.18
Shyvana,52.43
Singed,53.77
Sion,51.93
Sivir,52.33
Skarner,51.93
Smolder,47.48
Sona,42.19
Soraka,52.78
Swain,47.2
Sylas,49.59
Syndra,48.28
TahmKench,51.27
Taliyah,53.91
Talon,50.0
Taric,43.86
Teemo,50.27
Thresh,49.69
Tristana,45.99
Trundle,50.94
Tryndamere,50.12
TwistedFate,47.97
Twitch,48.72
Udyr,48.46
Urgot,58.37
Varus,48.47
Vayne,51.99
Veigar,52.37
Velkoz,50.8
Vex,54.45
Vi,46.15
Viego,50.99
Viktor,50.13
Vladimir,47.86
Volibear,51.27
Warwick,51.05
Xayah,48.21
Xerath,47.74
XinZhao,50.83
Yasuo,45.54
Yone,46.69
Yorick,48.43
Yuumi,48.35
Zac,49.66
Zed,45.14
Zeri,48.81
Ziggs,50.85
Zilean,52.53
Zoe,53.16
Zyra,48.39
