,winrate,ban_pick_rate,core_items,main_roles
Aatrox,51.1,22.955,"['Plated Steelcaps', 'Eclipse', 'Sundered Sky']",['TOP']
Ahri,52.82,11.04,"['Malignance', ""Sorcerer's Shoes"", ""Zhonya's Hourglass""]",['MIDDLE']
Akali,49.47,9.87,"[""Sorcerer's Shoes"", 'Stormsurge', 'Shadowflame']","['TOP', 'MIDDLE']"
Akshan,53.64,3.515,"['The Collector', 'Kraken Slayer', 'Infinity Edge']",['MIDDLE']
Alistar,50.97,5.29,"['Locket of the Iron Solari', 'Celestial Opposition', 'Plated Steelcaps']",['UTILITY']
Amumu,50.58,2.59,"[""Liandry's Torment"", 'Sunfire Aegis', 'Plated Steelcaps']",['JUNGLE']
Anivia,54.71,2.825,"[""Seraph's Embrace"", 'Rod of Ages', ""Sorcerer's Shoes""]",['MIDDLE']
Annie,49.49,1.755,"['Malignance', ""Sorcerer's Shoes"", ""Liandry's Torment""]",['MIDDLE']
Aphelios,50.43,3.405,"['The Collector', ""Berserker's Greaves"", 'Infinity Edge']",['BOTTOM']
Ashe,49.55,9.635,"[""Berserker's Greaves"", 'Kraken Slayer', 'Phantom Dancer']",['BOTTOM']
AurelionSol,51.11,4.145,"[""Rylai's Crystal Scepter"", ""Liandry's Torment"", ""Sorcerer's Shoes""]",['MIDDLE']
Aurora,48.3,25.3,"[""Sorcerer's Shoes"", ""Liandry's Torment"", 'Malignance']","['TOP', 'MIDDLE']"
Azir,45.0,0.92,"[""Nashor's Tooth"", ""Liandry's Torment"", ""Sorcerer's Shoes""]",['MIDDLE']
Bard,50.59,1.435,"['Locket of the Iron Solari', 'Celestial Opposition', 'Boots of Swiftness']",['UTILITY']
Belveth,46.93,7.05,"['Kraken Slayer', 'Blade of The Ruined King', 'Plated Steelcaps']",['JUNGLE']
Blitzcrank,51.96,17.425,"['Locket of the Iron Solari', 'Celestial Opposition', 'Frozen Heart']",['UTILITY']
Brand,54.95,5.5,"[""Rylai's Crystal Scepter"", ""Liandry's Torment"", ""Sorcerer's Shoes""]","['JUNGLE', 'MIDDLE', 'UTILITY']"
Braum,50.53,6.44,"['Locket of the Iron Solari', 'Celestial Opposition', 'Plated Steelcaps']",['UTILITY']
Briar,48.84,2.6,"['Blade of The Ruined King', 'Plated Steelcaps', 'Eclipse']",['JUNGLE']
Caitlyn,49.7,12.92,"['The Collector', 'Infinity Edge', ""Berserker's Greaves""]",['BOTTOM']
Camille,51.07,6.87,"['Trinity Force', 'Ravenous Hydra', 'Plated Steelcaps']",['TOP']
Cassiopeia,51.48,1.43,"[""Seraph's Embrace"", ""Rylai's Crystal Scepter"", ""Liandry's Torment""]","['TOP', 'MIDDLE']"
Chogath,57.89,2.03,"['Heartsteel', 'Plated Steelcaps', ""Mercury's Treads""]","['TOP', 'MIDDLE']"
Corki,51.83,6.615,"['Trinity Force', 'Muramana', 'The Collector']","['MIDDLE', 'BOTTOM']"
Darius,50.0,8.395,"['Stridebreaker', 'Plated Steelcaps', ""Dead Man's Plate""]",['TOP']
Diana,51.82,7.805,"[""Sorcerer's Shoes"", ""Zhonya's Hourglass"", ""Nashor's Tooth""]","['JUNGLE', 'MIDDLE']"
Draven,46.72,4.215,"['Bloodthirster', 'The Collector', 'Infinity Edge']",['BOTTOM']
DrMundo,48.77,1.535,"['Heartsteel', ""Warmog's Armor"", 'Plated Steelcaps']","['TOP', 'JUNGLE']"
Ekko,48.19,2.245,"[""Sorcerer's Shoes"", 'Lich Bane', 'Hextech Rocketbelt']","['JUNGLE', 'MIDDLE']"
Elise,53.21,4.13,"[""Sorcerer's Shoes"", 'Stormsurge', 'Shadowflame']",['JUNGLE']
Evelynn,46.53,4.405,"['Lich Bane', ""Sorcerer's Shoes"", 'Stormsurge']",['JUNGLE']
Ezreal,48.41,21.905,"['Trinity Force', 'Muramana', 'Ionian Boots of Lucidity']",['BOTTOM']
Fiddlesticks,49.62,2.01,"[""Liandry's Torment"", ""Sorcerer's Shoes"", 'Malignance']","['TOP', 'JUNGLE', 'UTILITY']"
Fiora,50.74,6.67,"['Ravenous Hydra', 'Trinity Force', 'Plated Steelcaps']",['TOP']
Fizz,47.67,2.77,"['Lich Bane', ""Sorcerer's Shoes"", ""Zhonya's Hourglass""]",['MIDDLE']
Galio,51.54,5.815,"['Hollow Radiance', ""Mercury's Treads"", 'Riftmaker']",['MIDDLE']
Gangplank,45.26,1.59,"['Trinity Force', 'The Collector', 'Ionian Boots of Lucidity']",['TOP']
Garen,43.59,2.905,"['Stridebreaker', 'Phantom Dancer', ""Berserker's Greaves""]",['TOP']
Gnar,48.49,6.02,"['Trinity Force', 'Plated Steelcaps', 'Black Cleaver']",['TOP']
Gragas,49.55,8.66,"[""Sorcerer's Shoes"", 'Lich Bane', 'Stormsurge']","['TOP', 'JUNGLE']"
Graves,51.97,24.98,"[""Youmuu's Ghostblade"", 'The Collector', ""Lord Dominik's Regards""]",['JUNGLE']
Gwen,47.11,4.9,"['Riftmaker', ""Nashor's Tooth"", 'Plated Steelcaps']","['TOP', 'JUNGLE']"
Hecarim,48.68,5.98,"['Eclipse', 'Ionian Boots of Lucidity', 'Black Cleaver']",['JUNGLE']
Heimerdinger,46.84,1.71,"[""Sorcerer's Shoes"", ""Liandry's Torment"", 'Blackfire Torch']","['TOP', 'MIDDLE']"
Hwei,53.79,9.255,"[""Sorcerer's Shoes"", 'Blackfire Torch', ""Liandry's Torment""]",['MIDDLE']
Illaoi,50.58,5.61,"['Iceborn Gauntlet', 'Black Cleaver', 'Plated Steelcaps']",['TOP']
Irelia,51.3,7.015,"['Blade of The Ruined King', 'Plated Steelcaps', ""Wit's End""]","['TOP', 'MIDDLE']"
Ivern,51.61,0.78,"['Ionian Boots of Lucidity', 'Redemption', 'Moonstone Renewer']",['JUNGLE']
Janna,51.32,1.855,"['Boots of Swiftness', 'Dream Maker', ""Shurelya's Battlesong""]",['UTILITY']
JarvanIV,50.0,6.075,"['Sundered Sky', 'Eclipse', 'Plated Steelcaps']",['JUNGLE']
Jax,53.05,15.04,"['Trinity Force', 'Sundered Sky', 'Plated Steelcaps']",['TOP']
Jayce,46.91,10.395,"['Eclipse', 'Muramana', 'Ionian Boots of Lucidity']","['TOP', 'MIDDLE']"
Jhin,50.56,11.335,"['Boots of Swiftness', 'Rapid Firecannon', 'The Collector']",['BOTTOM']
Jinx,51.26,9.625,"[""Berserker's Greaves"", 'Kraken Slayer', 'Infinity Edge']",['BOTTOM']
Kaisa,50.58,27.865,"[""Guinsoo's Rageblade"", ""Berserker's Greaves"", 'Statikk Shiv']",['BOTTOM']
Kalista,45.33,3.75,"['Blade of The Ruined King', ""Berserker's Greaves"", ""Guinsoo's Rageblade""]",['BOTTOM']
Karma,49.67,10.77,"['Ionian Boots of Lucidity', ""Zaz'Zak's Realmspike"", 'Malignance']",['UTILITY']
